"treatment","k","k_numeric","max_depth","repeat_id","fold_id","f1","n_train","n_valid","positive_rate_valid"
"k=3_depth=3","k=3","k=3","3",1,1,0.170542635658915,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",1,2,0.0890688259109312,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",1,3,0.178294573643411,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",2,1,0.238805970149254,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",2,2,0.0890688259109312,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",2,3,0.104417670682731,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",3,1,0.170542635658915,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",3,2,0.177606177606178,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",3,3,0.0333333333333333,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",4,1,0.20532319391635,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",4,2,0.134387351778656,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",4,3,0.0813008130081301,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",5,1,0.0809716599190283,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",5,2,0.1484375,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",5,3,0.134920634920635,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",6,1,0.0578512396694215,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",6,2,0.211320754716981,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",6,3,0.218045112781955,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",7,1,0.37542662116041,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",7,2,0.0168067226890756,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",7,3,0.141176470588235,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",8,1,0.237918215613383,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",8,2,0.232209737827715,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",8,3,0.0578512396694215,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",9,1,0.0655737704918033,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",9,2,0.134387351778656,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",9,3,0.211320754716981,3334,1666,0.141056422569028
"k=3_depth=3","k=3","k=3","3",10,1,0.20532319391635,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",10,2,0.119521912350598,3333,1667,0.141571685662867
"k=3_depth=3","k=3","k=3","3",10,3,0.149606299212598,3334,1666,0.141056422569028
"k=5_depth=3","k=5","k=5","3",1,1,0.156862745098039,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",1,2,0.179487179487179,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",1,3,0.155844155844156,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",1,4,0.0684931506849315,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",1,5,0.285714285714286,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",2,1,0.0684931506849315,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",2,2,0.289156626506024,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",2,3,0.0810810810810811,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",2,4,0.119205298013245,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",2,5,0.309523809523809,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",3,1,0.0945945945945946,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",3,2,0.12,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",3,3,0.118421052631579,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",3,4,0.0680272108843537,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",3,5,0.0551724137931034,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",4,1,0.236024844720497,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",4,2,0.0413793103448276,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",4,3,0.266666666666667,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",4,4,0.027972027972028,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",4,5,0.236024844720497,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",5,1,0.0413793103448276,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",5,2,0.166666666666667,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",5,3,0.179487179487179,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",5,4,0.0680272108843537,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",5,5,0.12,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",6,1,0.118421052631579,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",6,2,0.0547945205479452,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",6,3,0.156862745098039,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",6,4,0.226415094339623,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",6,5,0.0810810810810811,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",7,1,0.0680272108843537,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",7,2,0.0413793103448276,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",7,3,0.156862745098039,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",7,4,0.0810810810810811,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",7,5,0.130718954248366,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",8,1,0.22360248447205,4000,1000,0.141
